claim_roman_urdu,claim_english,category,verdict,source_url
Imperial College London Lahore mai Nawaz Sharif IT City ka campus banane ja rahi hai,Imperial College London is set to build a campus in the Nawaz Sharif IT City in Lahore.,Education,False,https://www.sochfactcheck.com/pml-n-falsely-claims-imperial-college-london-build-campus-nawaz-sharif-it-city-lahore-pakistan/
Sindh Education Department ki taraf se ek notification aayi hai ke tamam public aur private schools 15 April 2026 tak band rahenge,"A notification by the School Education and Literacy Department, Government of Sindh, directs all public and private institutions to remain closed till 15 April 2026.",Education,False,http://sochfactcheck.com/government-of-sindh-education-department-did-not-order-closure-of-institutions-till-15-april-2026/
Pakistan ki 20 universities duniya bhar ki top 500 universities mein shamil ho gayi hain,20 Pakistani universities have been ranked amongst the world’s top 500 universities,Education,Misleading,https://www.sochfactcheck.com/pakistans-ranking-amongst-top-500-universities-is-not-indicative-of-overall-education-standards/
Balochistan government ne Indian actor Salman Khan ko fourth schedule mein daal diya hai,"On October 25, a social media user posted a purported notification on X (formerly Twitter) showing the Government of Balochistan placing Indian actor Salman Khan on the fourth schedule.",Entertainment,False,https://www.geo.tv/latest/631124-fact-check-fake-notification-claims-indian-actor-salman-khan-placed-on-pakistans-fourth-schedule
Shower lete waqt apna electric geyser band na karna jaanlewa sabit ho sakta hai,"Please make sure to switch off your electric geyser when taking a shower,” wrote a user on the platform X, formerly known as Twitter, on November 30, “Make sure to retweet this so you can save lives.",Health,Misleading,https://www.geo.tv/latest/523628-fact-check-electric-geysers-are-dangerous-when-showering
N league ki taraf se Punjab ke 12 crore logon ka health card band kar diya gaya hai,"The PML-N government has deprived Punjab’s 120 million people of the health insurance card facility,” a user claimed on platform X, formerly known as Twitter, on October 26.",Health,Misleading,https://www.geo.tv/latest/523085-fact-check-has-the-health-card-been-suspended-in-punjab
"Naya ilaaj aa gaya hai jo 3 saal tak diabetes se bachata hai, sabko share karo","On November 22, users on Facebook and Twitter alleged that a new path breaking treatment will prevent a person from getting diabetes for three years.",Health,Misleading,https://www.geo.tv/latest/455787-fact-check-new-drug-can-delay-type-1-diabetes-not-prevent-it
Pakistan mein bird flu ka naya case aa gaya hai,"On February 23, the Economy of Pakistan, a verified Twitter account, wrote: “Bird Flu case confirmed in Pakistan. In 2004, Bird flu caused a loss of approximately $100 million to the poultry industry.”",Health,False,https://www.geo.tv/latest/474573-fact-check-has-pakistan-detected-its-first-case-of-bird-flu
Maryam Nawaz ki beti ne sirf 13 saal mein graduate kiya,CM Punjab Maryam Nawaz claimed during a speech that her daughter graduated at the age of 13.,Politics,False,https://www.sochfactcheck.com/maryam-nawaz-did-not-say-her-daughter-graduated-at-the-age-of-13/
OpenAI ka O3 model aa gaya hai,Open AI’s new model O3 will change everything since artificial general intelligence (AGI) is finally here.,Tech,False,https://www.sochfactcheck.com/open-ais-new-reasoning-model-o3-has-not-achieved-agi/
